name_x,team_x,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,position_x,conference,2026_wAV_Predictions
Nick Marsh,Michigan State,0.631618688,3.912322656,1.248953092,-2.84511069,0.620324404,0.229150194,1.665053808,-0.671541784,0.51149154,0.649591625,0.000589372,WR,B1G,2.210365201
Malik Rutherford,Georgia Tech,-0.268904369,3.848189696,0.492664656,-1.956631777,-0.137002347,0.054018281,0.158184608,0.156427351,-0.132921137,0.544697575,-0.159724543,WR,ACC,2.201733088
Fernando Mendoza,Indiana,20.86352456,3.184568093,-3.667322509,0.073552081,-0.364242882,4.215329724,-1.51991872,0.189326938,-1.059755538,-1.016094445,0.085265526,QB,B1G,2.189995865
Ryan Wingo,Texas,0.002168733,2.699791422,2.338173163,-2.721343707,-0.222837178,-0.064085222,3.084910312,-1.307050626,1.300499962,0.206274106,0.380608338,WR,SEC,2.187195714
Bryson Washington,Baylor,2.998102153,-2.46568805,5.670520635,0.201126341,-0.796211362,-0.673454324,-0.555056665,0.451698258,-0.227844578,0.653300571,-0.160462671,RB,B12,2.179672688
Brian Rowe Jr.,South Carolina,0.138548302,-1.095381104,-2.077006321,-0.206827649,0.66293386,-1.613992014,3.626411973,2.537487071,-2.072535844,1.227727604,-5.057763578,WR,SEC,2.176588663
Eric Rivers,Georgia Tech,0.517345935,5.689794952,1.271215459,-3.113762275,0.343439272,-0.714160073,-0.009813709,0.019146564,-0.106822615,-0.255316071,-0.309530671,WR,ACC,2.169754467
Kenyon Sadiq,Oregon,-0.610308769,2.912883214,0.634932601,-1.51473449,-0.364799024,0.377016025,0.854658702,-0.15819778,0.121955293,0.299266133,-0.147307032,TE,B1G,2.157309539
Mason Mini,California,1.026914097,1.957747009,-2.28288533,-1.131860265,1.766344564,-3.519950674,3.730776991,2.988195478,-2.576936964,-0.982265,-6.138496649,TE,ACC,2.152661049
Tre Richardson,Vanderbilt,0.883304999,5.208547239,2.080231747,-3.339046686,0.024979639,-0.51146958,1.641976917,-0.650502397,0.631796219,-0.547563766,0.189067679,WR,SEC,2.148016761
Cooper Barkate,Duke,1.429192799,6.383427138,1.334474016,-5.353154762,0.266456216,-0.879842132,1.197106477,-0.39812791,0.451668065,0.07035651,-0.027609698,WR,ACC,2.144926945
Chrishon Mccray,Michigan State,-0.284151425,4.026024168,0.733208059,-1.769254189,-0.033188542,-0.105911609,0.605196501,-0.152725296,0.18025907,0.674730383,-0.043052631,WR,B1G,2.143478939
Cameron Dorner,North Texas,-0.110656607,5.745300162,1.507261999,-4.054653973,1.005946994,0.221934968,1.070352975,0.021822921,-0.163737121,0.921147612,-0.277753698,WR,AAC,2.142816742
Cade Klubnik,Clemson,18.78603385,0.176016809,-3.274472086,0.974936032,2.759855379,2.555608527,-1.194806395,-1.280202438,-0.002274495,0.185949072,0.552358847,QB,ACC,2.130198039
Joey Aguilar,Tennessee,21.88639916,2.167866201,-4.814899505,0.676484732,4.902714264,5.775628311,-1.040741697,-1.612204195,-0.769669125,-0.944223255,1.195266428,QB,SEC,2.12923451
Cam Cook,Jacksonville State,4.681268912,-3.810411749,6.868511928,1.022039949,-1.146292092,-0.81248826,-1.658005733,0.988768853,-0.733241154,-0.165873973,-0.219915348,RB,CUSA,2.117004314
Cade Harris,Air Force,1.008331965,3.224109293,3.073606779,-0.033230007,-0.589976935,0.363913853,0.400009316,0.294951521,-0.099768928,1.166163489,0.109529409,WR,MWC,2.114899575
Chase Hendricks,Ohio,0.420530308,4.939316628,0.61985729,-2.697401008,-0.079924275,-0.164428146,0.437420641,0.02527422,0.012339319,0.315492384,-0.124713452,WR,MAC,2.114707753
Sedrick Alexander,Vanderbilt,2.845374774,-0.956904825,5.32190109,0.037650556,2.021432141,0.22760895,-0.336661336,-0.21512535,-0.374837502,0.106644818,-0.011832132,RB,SEC,2.112485104
Chris Brazzell II,Tennessee,-0.021811353,4.694829536,0.560381985,-2.580219594,0.069409754,-0.340302709,0.452890978,-0.106740127,0.123662646,0.1696702,-0.023590721,WR,SEC,2.111815543
Roman Hemby,Indiana,2.81368811,-2.088650709,6.178605432,-0.252474933,-0.075205574,-1.727059594,-0.318662979,-0.157812023,0.325502736,0.646702386,0.020083854,RB,B1G,2.10904415
Will Henderson III,UTSA,1.3137047,-1.767573997,4.341141654,-0.117437185,-0.803611634,0.07277137,0.142061315,0.186783139,-0.136323668,0.198659026,-0.097946298,RB,AAC,2.104286101
OJ Arnold,Georgia Southern,3.799699338,-0.959602503,2.900249803,1.250605305,0.150426028,-2.306929308,3.443811551,2.914563234,-2.414150276,-1.193265732,-5.166416824,RB,SBC,2.102413415
Link Rhodes,SMU,-2.349187115,-1.774837793,-1.564184248,-1.521121721,6.134357278,2.87228735,-3.718815997,19.67492432,21.15698307,-3.462227736,-0.878620317,WR,ACC,2.10173819
Dane Key,Nebraska,0.326667216,5.260164058,0.453089308,-1.797817869,-0.149041377,-0.14639848,0.199820835,-0.037182893,0.023776732,-0.230575238,-0.033759881,WR,B1G,2.101141129
Terrill Davis,Oklahoma State,0.346956446,1.284599084,-1.513661932,-0.521397207,0.705300564,-1.764957774,2.149083837,1.442101971,-1.171354856,-0.241200408,-3.02757675,WR,B12,2.094374458
Dakorien Moore,Oregon,0.374611636,2.55042542,2.333931803,-1.185383089,1.077342846,2.612959468,3.044176044,-1.141443832,0.472376949,0.32313089,0.325782366,WR,B1G,2.088958538
Terrance Carter,Texas Tech,0.061025805,4.846698635,0.569799298,-2.295019197,-0.082354392,-0.131556973,0.362437926,-0.002134725,0.014164286,0.203182349,-0.101469236,TE,B12,2.08728082
Dequan Finn,Miami (OH),12.44942826,-0.361461838,-0.254343504,0.852152912,-2.397481884,-0.42791005,0.084438709,0.77816331,-0.289473255,-0.126292612,-0.174448285,QB,MAC,2.074261818
Vernell Brown III,Florida,0.45855111,2.426871127,2.016183022,-0.052300138,0.28108232,3.491195647,4.737270972,-1.962299258,1.320521396,-0.220041963,0.901986627,WR,SEC,2.074169222
DeSean Bishop,Tennessee,3.544938836,-2.019422108,6.993449515,1.179476628,-1.143171265,-0.250814241,-1.203916305,1.074597209,-0.8712033,-0.753999507,-0.055155216,RB,SEC,2.067537559
A.J. Turner,Minnesota,0.132568872,-2.348721945,1.925342099,0.38408607,-1.169756,0.957394306,-0.087925659,0.312628513,-0.353987459,-0.030662653,-0.212017746,RB,B1G,2.066312281
Caden Durham,LSU,1.768524695,-2.286896277,4.693626406,-0.152913745,-0.015975002,-1.503017706,-0.133412031,-0.46628365,0.538135533,0.34469776,0.164697469,RB,SEC,2.065062958
Jayce Brown,Kansas State,0.908158121,4.587883627,3.110729202,-1.522549285,-1.001971879,0.987958208,3.144358459,-0.874880325,0.886718344,0.244964851,0.125487823,WR,B12,2.06499729
Tawee Walker,Cincinnati,2.423985601,-2.455976068,5.100401613,0.513831289,-0.850296671,-0.369075459,-0.625309261,0.497884644,-0.329057056,0.573532869,-0.199368617,RB,B12,2.063398253
Austin Simmons,Ole Miss,3.562402306,-0.421906165,-1.994053129,1.043258237,-1.086932938,0.088801693,1.812775592,1.875340325,-1.45915703,0.620822362,-1.13917939,QB,SEC,2.062106174
Anthony Colandrea,UNLV,20.4964944,0.067214127,-1.429836296,1.499478641,4.704778625,4.132345419,-0.639347578,-0.940158515,-0.925730301,0.200636524,0.662771584,QB,MWC,2.060358746
Keyjuan Brown,Louisville,1.182230198,-2.557317013,3.367814562,0.998869271,-1.342132006,0.7568029,0.073471233,0.261094206,-0.212280779,0.238241399,-0.166903676,RB,ACC,2.054682129
Kevin Jennings,SMU,17.51450431,1.549831464,-3.885896711,0.456580427,4.364860981,4.527956312,-0.687070944,-0.990897729,-1.070009613,-0.690826298,0.432442777,QB,ACC,2.05175455
KJ Duff,Rutgers,0.675915104,6.430558825,0.977841453,-2.892683981,0.093864878,-0.4941374,0.467262141,-0.142069089,0.137710673,-0.469784107,0.037227931,WR,B1G,2.037305108
Nate Frazier,Georgia,3.41958676,-2.410872983,6.180169184,0.347055086,3.405067461,1.958033406,-0.601392923,0.006468746,-1.149020515,0.533328321,-0.176009755,RB,SEC,2.031056887
Nykahi Davenport,South Florida,3.644513289,-2.457278369,2.449231481,2.500135393,2.715085354,-1.522416171,3.75557481,3.074646242,-3.223985101,-0.971762658,-6.096459318,RB,AAC,2.02992248
Carlos Del Rio-Wilson,Marshall,10.48692608,-0.826832028,-0.885207353,0.659088215,-1.667131255,-1.024895846,-0.058431021,0.69377144,-0.24457212,0.468115612,-0.473121547,QB,SBC,2.025548111
Fluff Bothwell,Mississippi State,3.093242867,-1.95028047,6.126399609,0.616517186,-0.861918177,-0.510087069,-0.745909299,0.654533046,-0.43673601,0.188521439,-0.054792276,RB,SEC,2.021529757
Kamario Taylor,Mississippi State,5.31538458,-2.318243821,2.310331965,1.844683084,-1.645852713,0.122351057,1.058386344,1.811142482,-1.423739302,-0.502941381,-1.699574886,QB,SEC,2.019162784
Sam Leavitt,Arizona State,14.25261803,0.069038164,-0.693698023,1.099809297,-2.728344073,-0.37958417,0.265323505,0.432074046,0.145559169,0.739508248,-0.489108241,QB,B12,2.01588238
Justin Joly,NC State,-0.273021655,4.478747422,0.507849879,-2.074087882,0.02139951,-0.221899633,0.382992814,-0.034689123,0.047546844,0.304202404,-0.089823778,TE,ACC,2.015554624
C.J. Carr,Notre Dame,15.99042486,2.236907795,-4.283893721,0.250160585,-1.392370546,2.551902835,-0.612317214,0.575227923,-0.880545399,0.004784025,-0.454904244,QB,Ind,2.013274458
Elijah Tau-Tolliver,Michigan State,0.553069408,-2.607331685,3.557605152,-0.317388624,-0.094403885,-0.841410252,0.462769209,-0.66002442,0.647118626,0.837916062,0.091284177,RB,B1G,2.013077488
